MemberID,Name,Parliament,Party,Date_Elected,Method_of_Election,Date_Vacated,Reason_for_Leaving,Electorate_List
908,"ALLEN, Percy Benjamin",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Bay of Plenty
940,"AMOS, Philip Albert",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Manurewa
938,"ARTHUR, Basil Malcolm",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Timaru
921,"BAILEY, Ronald Leslie",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Heretaunga
922,"BLANCHFIELD, Patrick",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Westland
923,"BROWN, William Henry",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Palmerston North
911,"CARTER, Douglas Julian",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Raglan
909,"CONNELLY, Michael Aynsley",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Riccarton
936,"DICK, Allan David",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Waitaki
941,"DONALD, Haddon Vivian",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Wairarapa
924,"DOUGLAS, Norman Vazey",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Auckland Central
893,"EDWARDS, James Gladstone",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Retired,Napier
873,"EYRE, Dean Jack",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Retired,North Shore
912,"FAULKNER, Arthur James",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Roskill
853,"FINLAY, Allan Martyn",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Waitakere
894,"FOX, William Arthur",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Defeated,Miramar
913,"FRASER, William Alex",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,St Kilda
869,"FREER, Warren Wilfred",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Mount Albert
895,"GEORGE, John Hannibal",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Otago Central
836,"GERARD, Richard Geoffrey",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Retired,Ashburton
925,"GORDON, John Bowie",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Clutha
914,"GRIEVE, Gordon Glendinning",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Awarua
855,"HANAN, Josiah Ralph",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Invercargill
942,"HARRISON, John Richard",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Hawkes Bay
771,"HOLYOAKE, Keith Jacka",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Pahiatua
826,"HOWARD, Mabel Bowden",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Sydenham
897,"JACK, Roy Emile",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Waimarino
899,"KING, Norman James",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Waitemata
900,"KINSELLA, Arthur Ellis",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Hauraki
915,"KIRK, Norman Eric",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Lyttelton
883,"LAKE, Harry Robson",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Fendalton
926,"LAPWOOD, Henry Robert",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Rotorua
858,"MACDONALD, Ritchie",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Grey Lynn
943,"MACDONELL, Brian Peter",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Dunedin Central
818,"MACFARLANE, Robert Mafeking",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Christchurch Central
927,"MACINTYRE, Duncan",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Hastings
860,"MARSHALL, John Ross",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Karori
730,"MASON, Henry Greathead Rex",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Retired,New Lynn
868,"MATHISON, John",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Avon
889,"MAY, Henry Leonard James",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Porirua
861,"MCALPINE, John Kenneth",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Retired,Selwyn
928,"MCCREADY, Allan",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Ōtaki
902,"MCKAY, Donald Norman",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Marsden
887,"MCMILLAN, Ethel Emma",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Dunedin North
863,"MOOHAN, Michael",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Petone
944,"MOYLE, Colin James",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Manukau
929,"MULDOON, Robert David",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Tāmaki
945,"MUNRO, Leslie Knox",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Waipa
756,"NASH, Walter",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Hutt
797,"NORDMEYER, Arnold Henry",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Island Bay
935,"PICKERING, Herbert Elmer Lorraine",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Rangiora
879,"RAE, John",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Eden
939,"RATA, Matiu",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Northern Maori
871,"RATANA, Iriaka Matiu",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Western Maori
930,"RIDDIFORD, Daniel Johnston",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Wellington Central
937,"ROWLING, Wallace Edward",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Buller
904,"SCOTT, William John",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Rodney
905,"SEATH, David Coutts",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Waitomo
866,"SHAND, Thomas Philip",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Marlborough
842,"SHEAT, William Alfred",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Retired,Egmont
906,"SHELTON, Norman Leslie",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Rangitīkei
843,"SIM, Geoffrey Fantham",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Retired,Piako
931,"SLOANE, Logan Francis",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Defeated,Hobson
932,"SPOONER, George Arthur",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Wanganui
946,"STEVENSON, Rona Miriel",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Taupō
917,"TALBOYS, Brian Edward",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Wallace
880,"TENNENT, William Blair",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Retired,Manawatu
947,"THOMSON, David Spence",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Stratford
770,"TIRIKATENE, Eruera Tihema",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Southern Maori
918,"TIZARD, Robert James",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Pakuranga
933,"TOMBLESON, Esme Irene",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Gisborne
934,"WALKER, Herbert John",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,St Albans
886,"WALSH, George Augustus",34,New Zealand National Party,30/11/1963,General election,25/11/1966,Re-elected,Tauranga
948,"WATENE, Puti Tipene",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Eastern Maori
888,"WATT, Hugh",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Onehunga
919,"WHITEHEAD, Stanley Austin",34,New Zealand Labour Party,30/11/1963,General election,25/11/1966,Re-elected,Nelson
920,"ADAMS-SCHNEIDER, Lancelot Raymond",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Hamilton
910,"ALLEN, Alfred Ernest",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Franklin
908,"ALLEN, Percy Benjamin",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Bay of Plenty
940,"AMOS, Philip Albert",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Manurewa
938,"ARTHUR, Basil Malcolm",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Timaru
921,"BAILEY, Ronald Leslie",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Heretaunga
949,"BARCLAY, Ronald Morrison",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Defeated,New Plymouth
922,"BLANCHFIELD, Patrick",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Westland
923,"BROWN, William Henry",35,New Zealand National Party,26/11/1966,General election,16/10/1967,Died,Palmerston North
911,"CARTER, Douglas Julian",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Raglan
1500,"CHRISTIE, Gordon",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Napier
909,"CONNELLY, Michael Aynsley",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Riccarton
950,"CRACKNELL, Vernon Francis",35,Social Credit,26/11/1966,General election,28/11/1969,Defeated,Hobson
936,"DICK, Allan David",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Waitaki
941,"DONALD, Haddon Vivian",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Defeated,Wairarapa
924,"DOUGLAS, Norman Vazey",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Auckland Central
912,"FAULKNER, Arthur James",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Roskill
853,"FINLAY, Allan Martyn",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Waitakere
913,"FRASER, William Alex",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,St Kilda
869,"FREER, Warren Wilfred",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Mount Albert
951,"GAIR, George Frederick",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,North Shore
952,"GANDAR, Leslie Walter",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Manawatu
895,"GEORGE, John Hannibal",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Retired,Otago Central
925,"GORDON, John Bowie",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Clutha
914,"GRIEVE, Gordon Glendinning",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Retired,Awarua
855,"HANAN, Josiah Ralph",35,New Zealand National Party,26/11/1966,General election,24/07/1969,Died,Invercargill
942,"HARRISON, John Richard",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Hawkes Bay
953,"HIGHET, David Allan",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Remuera
771,"HOLYOAKE, Keith Jacka",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Pahiatua
826,"HOWARD, Mabel Bowden",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Retired,Sydenham
954,"HUNT, Jonathan",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,New Lynn
897,"JACK, Roy Emile",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Waimarino
899,"KING, Norman James",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Waitemata
900,"KINSELLA, Arthur Ellis",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Retired,Hauraki
915,"KIRK, Norman Eric",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Lyttelton
883,"LAKE, Harry Robson",35,New Zealand National Party,26/11/1966,General election,21/01/1967,Died,Fendalton
926,"LAPWOOD, Henry Robert",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Rotorua
955,"LUXTON, John Finlay",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Piako
858,"MACDONALD, Ritchie",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Retired,Grey Lynn
943,"MACDONELL, Brian Peter",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Dunedin Central
818,"MACFARLANE, Robert Mafeking",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Retired,Christchurch Central
927,"MACINTYRE, Duncan",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Hastings
860,"MARSHALL, John Ross",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Karori
868,"MATHISON, John",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Avon
889,"MAY, Henry Leonard James",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Porirua
928,"MCCREADY, Allan",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Ōtaki
902,"MCKAY, Donald Norman",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Retired,Marsden
956,"MCLACHLAN, Colin Campbell Alexander",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Selwyn
887,"MCMILLAN, Ethel Emma",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Dunedin North
863,"MOOHAN, Michael",35,New Zealand Labour Party,26/11/1966,General election,7/02/1967,Died,Petone
944,"MOYLE, Colin James",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Manukau
929,"MULDOON, Robert David",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Tāmaki
945,"MUNRO, Leslie Knox",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Waipa
756,"NASH, Walter",35,New Zealand Labour Party,26/11/1966,General election,4/06/1968,Died,Hutt
797,"NORDMEYER, Arnold Henry",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Retired,Island Bay
935,"PICKERING, Herbert Elmer Lorraine",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Rangiora
879,"RAE, John",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Eden
939,"RATA, Matiu",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Northern Maori
871,"RATANA, Iriaka Matiu",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Retired,Western Maori
930,"RIDDIFORD, Daniel Johnston",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Wellington Central
937,"ROWLING, Wallace Edward",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Buller
904,"SCOTT, William John",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Retired,Rodney
905,"SEATH, David Coutts",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Waitomo
866,"SHAND, Thomas Philip",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Marlborough
906,"SHELTON, Norman Leslie",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Rangitīkei
932,"SPOONER, George Arthur",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Wanganui
946,"STEVENSON, Rona Miriel",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Taupō
957,"TALBOT, Robert Leslie Gapper",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Ashburton
917,"TALBOYS, Brian Edward",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Wallace
947,"THOMSON, David Spence",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Stratford
770,"TIRIKATENE, Eruera Tihema",35,New Zealand Labour Party,26/11/1966,General election,11/01/1967,Died,Southern Maori
918,"TIZARD, Robert James",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Pakuranga
933,"TOMBLESON, Esme Irene",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Gisborne
934,"WALKER, Herbert John",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,St Albans
886,"WALSH, George Augustus",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Tauranga
948,"WATENE, Puti Tipene",35,New Zealand Labour Party,26/11/1966,General election,14/06/1967,Died,Eastern Maori
888,"WATT, Hugh",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Onehunga
919,"WHITEHEAD, Stanley Austin",35,New Zealand Labour Party,26/11/1966,General election,28/11/1969,Re-elected,Nelson
958,"YOUNG, Venn Spearman",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Egmont
959,"YOUNG, William Lambert",35,New Zealand National Party,26/11/1966,General election,28/11/1969,Re-elected,Miramar
960,"TIRIKATENE-SULLIVAN, Tini Whetu Marama",35,New Zealand Labour Party,11/03/1967,By-election,28/11/1969,Re-elected,Southern Maori
961,"COLMAN, Fraser MacDonald",35,New Zealand Labour Party,15/04/1967,By-election,28/11/1969,Re-elected,Petone
962,"HOLLAND, Eric Sidney Fostyn",35,New Zealand National Party,15/04/1967,By-election,28/11/1969,Re-elected,Fendalton
963,"REWETI, Paraone Brown",35,New Zealand Labour Party,12/08/1967,By-election,28/11/1969,Re-elected,Eastern Maori
964,"WALDING, Joseph Albert",35,New Zealand Labour Party,2/12/1967,By-election,28/11/1969,Re-elected,Palmerston North
965,"YOUNG, Trevor James",35,New Zealand Labour Party,3/08/1968,By-election,28/11/1969,Re-elected,Hutt
920,"ADAMS-SCHNEIDER, Lancelot Raymond",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Waikato
910,"ALLEN, Alfred Ernest",36,New Zealand National Party,29/11/1969,General election,26/10/1972,Retired,Franklin
908,"ALLEN, Percy Benjamin",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Bay of Plenty
940,"AMOS, Philip Albert",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Manurewa
938,"ARTHUR, Basil Malcolm",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Timaru
921,"BAILEY, Ronald Leslie",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Heretaunga
966,"BARCLAY, Bruce Gillespie",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Christchurch Central
949,"BARCLAY, Ronald Morrison",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,New Plymouth
922,"BLANCHFIELD, Patrick",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Westland
911,"CARTER, Douglas Julian",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Raglan
967,"CHEWINGS, John Guy",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Invercargill
1500,"CHRISTIE, Gordon",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Napier
961,"COLMAN, Fraser MacDonald",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Petone
909,"CONNELLY, Michael Aynsley",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Wigram
936,"DICK, Allan David",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Oamaru
924,"DOUGLAS, Norman Vazey",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Auckland Central
968,"DOUGLAS, Roger",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Manukau
969,"DRAYTON, Roger Patrick Blundell",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,St Albans
912,"FAULKNER, Arthur James",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Roskill
853,"FINLAY, Allan Martyn",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Henderson
913,"FRASER, William Alex",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,St Kilda
869,"FREER, Warren Wilfred",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Mount Albert
951,"GAIR, George Frederick",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,North Shore
952,"GANDAR, Leslie Walter",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Manawatu
970,"GILL, Thomas Francis",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Waitemata
925,"GORDON, John Bowie",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Clutha
942,"HARRISON, John Richard",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Hawkes Bay
953,"HIGHET, David Allan",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Remuera
962,"HOLLAND, Eric Sidney Fostyn",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Riccarton
771,"HOLYOAKE, Keith Jacka",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Pahiatua
954,"HUNT, Jonathan",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,New Lynn
971,"ISBEY, Edward Emanuel",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Grey Lynn
897,"JACK, Roy Emile",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Waimarino
899,"KING, Norman James",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Birkenhead
915,"KIRK, Norman Eric",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Sydenham
926,"LAPWOOD, Henry Robert",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Rotorua
955,"LUXTON, John Finlay",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Piako
943,"MACDONELL, Brian Peter",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Dunedin Central
927,"MACINTYRE, Duncan",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Hastings
860,"MARSHALL, John Ross",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Karori
868,"MATHISON, John",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Retired,Avon
889,"MAY, Henry Leonard James",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Western Hutt
928,"MCCREADY, Allan",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Ōtaki
972,"MCGUIGAN, Thomas Malcolm",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Lyttelton
902,"MCKAY, Donald Norman",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Marsden
956,"MCLACHLAN, Colin Campbell Alexander",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Selwyn
887,"MCMILLAN, Ethel Emma",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Dunedin North
944,"MOYLE, Colin James",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Māngere
929,"MULDOON, Robert David",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Tāmaki
945,"MUNRO, Leslie Knox",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Hamilton East
1499,"O'BRIEN, Gerald",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Island Bay
935,"PICKERING, Herbert Elmer Lorraine",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Rangiora
879,"RAE, John",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Eden
939,"RATA, Matiu",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Northern Maori
963,"REWETI, Paraone Brown",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Eastern Maori
930,"RIDDIFORD, Daniel Johnston",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Wellington Central
973,"ROSE, John Murray",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Otago Central
937,"ROWLING, Wallace Edward",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Buller
974,"SCHULTZ, Leo Charles",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Hauraki
905,"SEATH, David Coutts",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Waitomo
866,"SHAND, Thomas Philip",36,New Zealand National Party,29/11/1969,General election,11/12/1969,Died,Marlborough
906,"SHELTON, Norman Leslie",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Rangitīkei
931,"SLOANE, Logan Francis",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Hobson
946,"STEVENSON, Rona Miriel",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Taupō
957,"TALBOT, Robert Leslie Gapper",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,South Canterbury
917,"TALBOYS, Brian Edward",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Wallace
975,"TEMPLETON, Hugh Campbell",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Awarua
947,"THOMSON, David Spence",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Stratford
960,"TIRIKATENE-SULLIVAN, Tini Whetu Marama",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Southern Maori
918,"TIZARD, Robert James",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Pakuranga
976,"TOLHURST, William Gerald",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Wanganui
933,"TOMBLESON, Esme Irene",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Defeated,Gisborne
964,"WALDING, Joseph Albert",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Defeated,Palmerston North
934,"WALKER, Herbert John",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Papanui
977,"WALL, Gerard Aloysius",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Porirua
886,"WALSH, George Augustus",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Retired,Tauranga
888,"WATT, Hugh",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Onehunga
978,"WĒTERE, Hon Koro Tainui",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Western Maori
919,"WHITEHEAD, Stanley Austin",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Nelson
979,"WILKINSON, Peter Ian",36,New Zealand National Party,29/11/1969,General election,24/11/1972,Re-elected,Rodney
980,"WILLIAMS, John Henry",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Wairarapa
965,"YOUNG, Trevor James",36,New Zealand Labour Party,29/11/1969,General election,24/11/1972,Re-elected,Hutt
